,Count,T_avg,V_avg,W_avg,rain,fog,snow,Thunderstorms,Quarter,Month,Day,Year
287,34,9,12,13,0,0,0,0,1,2,5,2016
288,21,10,14,19,0,0,0,0,1,2,6,2016
289,8,9,10,27,1,0,0,0,1,2,7,2016
290,23,9,11,35,1,0,0,0,1,2,8,2016
291,28,8,10,26,1,0,0,1,1,2,9,2016
292,28,6,11,23,1,0,0,0,1,2,10,2016
293,34,6,12,11,1,0,0,0,1,2,11,2016
294,14,4,12,14,1,0,0,0,1,2,12,2016
295,2,6,13,13,1,0,0,0,1,2,14,2016
296,27,4,12,16,0,0,0,0,1,2,15,2016
297,21,2,19,8,0,0,0,0,1,2,16,2016
298,30,0,10,6,0,0,0,0,1,2,17,2016
299,123,1,9,10,1,0,0,0,1,2,18,2016
300,31,4,13,11,0,0,0,0,1,2,19,2016
301,6,9,10,24,1,0,0,0,1,2,20,2016
302,5,12,10,24,1,0,0,0,1,2,21,2016
303,24,11,11,19,1,0,0,0,1,2,22,2016
304,12,6,10,10,1,0,0,0,1,2,23,2016
305,7,3,13,6,1,0,0,0,1,2,24,2016
306,25,2,10,5,0,1,0,0,1,2,25,2016
307,12,2,11,6,0,0,0,0,1,2,26,2016
308,17,3,12,19,0,0,0,0,1,2,27,2016
309,8,3,11,24,0,0,0,0,1,2,28,2016
310,30,4,18,21,0,0,0,0,1,2,29,2016
311,31,3,9,10,1,0,0,0,1,3,1,2016
312,28,6,11,23,1,0,1,0,1,3,2,2016
313,16,6,12,18,1,0,0,0,1,3,3,2016
314,115,6,10,16,1,0,0,0,1,3,4,2016
315,8,4,11,11,1,0,1,0,1,3,5,2016
316,3,6,13,13,0,0,0,0,1,3,6,2016
317,38,4,12,10,1,0,1,0,1,3,7,2016
318,31,4,11,8,0,0,0,0,1,3,8,2016
319,25,7,10,24,1,0,0,0,1,3,9,2016
320,32,7,11,8,0,0,0,0,1,3,10,2016
321,23,7,6,6,0,0,0,0,1,3,11,2016
322,3,6,6,8,0,0,0,0,1,3,12,2016
323,35,4,9,18,0,0,0,0,1,3,14,2016
324,74,7,9,13,1,0,0,0,1,3,15,2016
325,30,6,11,21,0,0,0,0,1,3,16,2016
326,23,7,10,13,0,0,0,0,1,3,17,2016
327,74,6,5,10,0,0,0,0,1,3,18,2016
328,15,6,9,13,0,0,0,0,1,3,19,2016
329,25,6,11,14,0,0,0,0,1,3,20,2016
330,59,7,11,11,0,0,0,0,1,3,21,2016
331,35,9,13,10,0,0,0,0,1,3,22,2016
332,26,8,10,13,0,0,0,0,1,3,23,2016
333,33,8,10,8,0,0,0,0,1,3,24,2016
334,63,10,9,10,1,0,0,0,1,3,25,2016
335,25,10,9,14,1,0,0,0,1,3,26,2016
336,29,10,10,23,1,0,0,0,1,3,27,2016
337,7,10,11,32,1,0,0,1,1,3,28,2016
338,25,10,11,19,1,0,0,0,1,3,29,2016
339,44,9,11,11,1,0,0,0,1,3,30,2016
340,40,7,10,14,1,0,0,0,1,3,31,2016
341,36,8,9,11,0,0,0,0,2,4,1,2016
342,8,6,8,8,1,0,0,0,2,4,2,2016
343,5,14,9,8,1,1,0,1,2,4,3,2016
344,48,13,10,14,1,0,0,0,2,4,4,2016
345,20,12,12,10,1,0,0,0,2,4,5,2016
346,26,11,12,13,1,0,0,0,2,4,6,2016
